"year","state","total_sales_mwh"
2015,"ME",11888168
2015,"MI",102479921
2015,"MN",66579234
2015,"MO",81504081
2015,"MS",48691529
2015,"MT",14206911
2015,"NC",133847523
2015,"ND",18128948
2015,"NE",29495073
2015,"NH",10999149
2015,"NJ",75489623
2015,"NM",23093553
2015,"NV",36019690
2015,"NY",148913655
2015,"OH",149213224
2015,"OK",61336385
2015,"OR",47263974
2015,"PA",146344028
2015,"RI",7664718
2015,"SC",81328246
2015,"SD",12101979
2015,"TN",99632108
2015,"TX",392337354
2015,"UT",30192350
2015,"VA",112009045
2015,"VT",5521109
2015,"WA",90116086
2015,"WI",68698932
2015,"WV",32303026
2015,"WY",16924762
2016,"AK",6123202
2016,"AL",88225141
2016,"AR",46188438
2016,"AZ",78237828
2016,"CA",256846635
2016,"CO",54802037
2016,"CT",28931087
2016,"DC",11394003
2016,"DE",11258438
2016,"FL",235721822
2016,"GA",138112239
2016,"HI",9445389
2016,"IA",48431193
2016,"ID",23062961
2016,"IL",141050409
2016,"IN",103704821
2016,"KS",40810174
2016,"KY",74553575
2016,"LA",91452659
2016,"MA",53475888
2016,"MD",61353911
2016,"ME",11448951
2016,"MI",104467813
2016,"MN",66546492
2016,"MO",78618056
2016,"MS",49050164
2016,"MT",14100601
2016,"NC",134404319
2016,"ND",18520188
2016,"NE",30199354
2016,"NH",10904956
2016,"NJ",75359371
2016,"NM",23039547
2016,"NV",36144630
2016,"NY",147803038
2016,"OH",150597796
2016,"OK",61516554
2016,"OR",47349350
2016,"PA",145327683
2016,"RI",7524270
2016,"SC",79577550
2016,"SD",12129530
2016,"TN",100758439
2016,"TX",398661809
2016,"UT",30179534
2016,"VA",112280665
2016,"VT",5516450
2016,"WA",88885316
2016,"WI",69736338
2016,"WV",32076146
2016,"WY",16554870
2017,"AK",6185799
2017,"AL",86241730
2017,"AR",46085951
2017,"AZ",77646262
2017,"CA",257267937
2017,"CO",54830186
2017,"CT",28135530
2017,"DC",10916446
2017,"DE",11128603
2017,"FL",233154549
2017,"GA",133456620
2017,"HI",9324201
2017,"IA",48921997
2017,"ID",23793790
2017,"IL",137196310
2017,"IN",98965968
2017,"KS",40287787
2017,"KY",72634387
2017,"LA",91205935
2017,"MA",52513321
2017,"MD",59303885
2017,"ME",11213674
2017,"MI",101899093
2017,"MN",67152580
2017,"MO",76461419
2017,"MS",47828787
2017,"MT",14709656
2017,"NC",131421319
2017,"ND",20140426
2017,"NE",30359007
2017,"NH",10787261
2017,"NJ",73382940
2017,"NM",23009584
2017,"NV",36657786
2017,"NY",144992433
2017,"OH",146643831
2017,"OK",60492128
2017,"OR",50043816
2017,"PA",142990896
2017,"RI",7384671
2017,"SC",78096757
2017,"SD",12313675
2017,"TN",97239885
2017,"TX",401880374
2017,"UT",30589021
2017,"VA",111529732
2017,"VT",5423662
2017,"WA",91948172
2017,"WI",69079109
2017,"WV",31709019
2017,"WY",16778067
2018,"AK",5972467
2018,"AL",90280456
2018,"AR",49602708
2018,"AZ",78346302
2018,"CA",255224272
2018,"CO",56450480
2018,"CT",28833925
2018,"DC",11357910
2018,"DE",11773100
2018,"FL",238565391
2018,"GA",139866074
2018,"HI",9337161
2018,"IA",51210655
2018,"ID",23753508
2018,"IL",142654808
2018,"IN",104194376
2018,"KS",42036979
2018,"KY",76610636
2018,"LA",94186072
2018,"MA",53285029
2018,"MD",62086455
2018,"ME",12354819
2018,"MI",104869496
2018,"MN",68708382
2018,"MO",82055835
2018,"MS",50390068
2018,"MT",14838845
2018,"NC",138287404
2018,"ND",20669506
2018,"NE",30939492
2018,"NH",11046284
2018,"NJ",76016762
2018,"NM",24048611
2018,"NV",37780263
2018,"NY",149929851
2018,"OH",152915167
2018,"OK",64575316
2018,"OR",49325904
2018,"PA",148976731
2018,"RI",7583339
2018,"SC",81641138
2018,"SD",12856938
2018,"TN",102911183
2018,"TX",424418628
2018,"UT",31242408
2018,"VA",118166348
2018,"VT",5530948
2018,"WA",90005791
2018,"WI",70959549
2018,"WV",33646813
2018,"WY",16864678
2019,"AK",5818805
2019,"AL",88095112
2019,"AR",48093032
2019,"AZ",77929170
2019,"CA",250378710
2019,"CO",56520823
2019,"CT",27899996
2019,"DC",11028403
2019,"DE",11469422
2019,"FL",240347955
2019,"GA",139300990
2019,"HI",9452887
2019,"IA",51043148
2019,"ID",23985275
2019,"IL",138319481
2019,"IN",102104203
2019,"KS",41159628
2019,"KY",75345382
2019,"LA",93128525
2019,"MA",51336598
2019,"MD",60720658
2019,"ME",11732040
2019,"MI",101249293
2019,"MN",66965594
2019,"MO",78857775
2019,"MS",48951026
2019,"MT",15321271
2019,"NC",136435531
2019,"ND",21559255
2019,"NE",30383190
2019,"NH",10711657
2019,"NJ",73916704
2019,"NM",24880134
2019,"NV",36982386
2019,"NY",145600345
2019,"OH",148521920
2019,"OK",64795946
2019,"OR",50404386
2019,"PA",145580383
2019,"RI",7349915
2019,"SC",80205620
2019,"SD",12868931
2019,"TN",99829100
2019,"TX",429343404
2019,"UT",31142565
2019,"VA",118435380
2019,"VT",5427664
2019,"WA",91052796
2019,"WI",69157540
2019,"WV",33247013
2019,"WY",16763496
2020,"AK",5917577
2020,"AL",83395605
2020,"AR",45851003
2020,"AZ",81960074
2020,"CA",250174672
2020,"CO",56050264
2020,"CT",27113673
2020,"DC",9785775
2020,"DE",11129051
2020,"FL",242440171
2020,"GA",133470142
2020,"HI",8796761
2020,"IA",50639862
2020,"ID",24461352
2020,"IL",132469277
2020,"IN",97155744
2020,"KS",39483946
2020,"KY",71800399
2020,"LA",89126685
2020,"MA",50009341
2020,"MD",57629040
2020,"ME",11346740
2020,"MI",97011906
2020,"MN",64054606
2020,"MO",75725712
2020,"MS",46482040
2020,"MT",14584179
2020,"NC",130390980
2020,"ND",21819452
2020,"NE",31171536
2020,"NH",10693529
2020,"NJ",71998221
2020,"NM",24777155
2020,"NV",38233899
2020,"NY",140406632
2020,"OH",142615199
2020,"OK",62299305
2020,"OR",51019313
2020,"PA",139720837
2020,"RI",7351541
2020,"SC",76737176
2020,"SD",12695845
2020,"TN",95003888
2020,"TX",426863267
2020,"UT",31663157
2020,"VA",117254388
2020,"VT",5331458
2020,"WA",86706144
2020,"WI",67448361
2020,"WV",32076583
2020,"WY",15331018
2021,"AK",5969339
2021,"AL",85585166
2021,"AR",48663142
2021,"AZ",81219990
2021,"CA",247249865
2021,"CO",56351209
2021,"CT",27737606
2021,"DC",10083372
2021,"DE",11479655
2021,"FL",241562082
2021,"GA",137363952
2021,"HI",8936482
2021,"IA",52893269
2021,"ID",25285616
2021,"IL",135688833
2021,"IN",99740046
2021,"KS",40491786
2021,"KY",74516986
2021,"LA",90819346
2021,"MA",50798388
2021,"MD",59303974
2021,"ME",11584674
2021,"MI",99813281
2021,"MN",66589168
2021,"MO",77763041
2021,"MS",48015364
2021,"MT",14961561
2021,"NC",135693077
2021,"ND",22863107
2021,"NE",32341170
2021,"NH",10867268
2021,"NJ",73070466
2021,"NM",25393743
2021,"NV",39032042
2021,"NY",141423778
2021,"OH",147717865
2021,"OK",64525137
2021,"OR",54135205
2021,"PA",143340154
2021,"RI",7398004
2021,"SC",79792136
2021,"SD",13041391
2021,"TN",99621137
2021,"TX",435627878
2021,"UT",32677627
2021,"VA",125245196
2021,"VT",5412696
2021,"WA",88198668
2021,"WI",69426615
2021,"WV",32777988
2021,"WY",15784712
2022,"AK",6002080
2022,"AL",87027545
2022,"AR",48997663
2022,"AZ",84196517
2022,"CA",251869136
2022,"CO",56763041
2022,"CT",27767146
2022,"DC",10241534
2022,"DE",11539271
2022,"FL",248820803
2022,"GA",145035204
2022,"HI",9039115
2022,"IA",54203955
2022,"ID",26201131
2022,"IL",135871580
2022,"IN",100044365
2022,"KS",41961065
2022,"KY",75338742
2022,"LA",95138998
2022,"MA",50983440
2022,"MD",59682719
2022,"ME",11875708
2022,"MI",100639262
2022,"MN",66635430
2022,"MO",80306260
2022,"MS",48979533
2022,"MT",15583783
2022,"NC",139206761
2022,"ND",25392877
2022,"NE",33844105
2022,"NH",10818130
2022,"NJ",74442735
2022,"NM",27156178
2022,"NV",39320007
2022,"NY",143210517
2022,"OH",149499783
2022,"OK",69486942
2022,"OR",56326896
2022,"PA",145044592
2022,"RI",7576284
2022,"SC",82758432
2022,"SD",13467064
2022,"TN",102112051
2022,"TX",475401192
2022,"UT",33365501
2022,"VA",132264617
2022,"VT",5470471
2022,"WA",90897320
2022,"WI",69875871
2022,"WV",32986288
2022,"WY",16499429
2023,"AK",6024598
2023,"AL",84880359
2023,"AR",48649300
2023,"AZ",85918798
2023,"CA",239480452
2023,"CO",55565819
2023,"CT",26685176
2023,"DC",9879714
2023,"DE",11081671
2023,"FL",250940214
2023,"GA",142028831
2023,"HI",8927252
2023,"IA",54400259
2023,"ID",25673977
2023,"IL",130578217
2023,"IN",95995350
2023,"KS",41052008
2023,"KY",71223021
2023,"LA",95374457
2023,"MA",50011964
2023,"MD",57033085
2023,"ME",11336030
2023,"MI",97588690
2023,"MN",66215800
2023,"MO",76975799
2023,"MS",48421762
2023,"MT",15504699
2023,"NC",133091108
2023,"ND",28202179
2023,"NE",33571199
2023,"NH",10631313
2023,"NJ",71096939
2023,"NM",28347490
2023,"NV",38249355
2023,"NY",139421936
2023,"OH",146640983
2023,"OK",68978840
2023,"OR",57984962
2023,"PA",138710993
2023,"RI",7300788
2023,"SC",81202185
2023,"SD",13505999
2023,"TN",99046005
2023,"TX",492820385
2023,"UT",33343537
2023,"VA",132318505
2023,"VT",5364023
2023,"WA",89552630
2023,"WI",68563904
2023,"WV",32070687
2023,"WY",16790115
2024,"AK",6046503
2024,"AL",87522932
2024,"AR",49895812
2024,"AZ",90843288
2024,"CA",245717145
2024,"CO",56842904
2024,"CT",27351355
2024,"DC",10142915
2024,"DE",11373916
2024,"FL",255095458
2024,"GA",150003965
2024,"HI",8952134
2024,"IA",54930422
2024,"ID",26369555
2024,"IL",133226907
2024,"IN",99219607
2024,"KS",41258210
2024,"KY",74405871
2024,"LA",95356829
2024,"MA",49418575
2024,"MD",59018688
2024,"ME",11341591
2024,"MI",98991014
2024,"MN",64562108
2024,"MO",77776034
2024,"MS",48684612
2024,"MT",15567013
2024,"NC",136904526
2024,"ND",29769698
2024,"NE",35191045
2024,"NH",10913961
2024,"NJ",73531424
2024,"NM",30296354
2024,"NV",40664639
2024,"NY",140497501
2024,"OH",153707376
2024,"OK",72083773
2024,"OR",59680701
2024,"PA",142146514
2024,"RI",7414247
2024,"SC",83961428
2024,"SD",13637204
2024,"TN",102962435
2024,"TX",505431317
2024,"UT",34688083
2024,"VA",138044772
2024,"VT",5458947
2024,"WA",89981629
2024,"WI",68291424
2024,"WV",32990570
2024,"WY",17216901
